file_stem	split	cluster
train_0001	train	75
train_0002	train	86
train_0003	train	26
train_0004	train	45
train_0005	train	28
train_0006	train	67
train_0007	train	46
train_0008	train	56
train_0009	train	90
train_0010	train	47
train_0011	train	70
train_0012	train	32
train_0013	train	10
train_0014	train	93
train_0015	train	52
train_0016	train	16
train_0017	train	10
train_0018	train	24
train_0019	train	44
train_0020	train	29
train_0021	train	53
train_0022	train	19
train_0023	train	14
train_0024	train	74
train_0025	train	12
train_0026	train	22
train_0027	train	87
train_0028	train	99
train_0029	train	20
train_0030	train	13
train_0031	train	13
train_0032	train	93
train_0033	train	42
train_0034	train	76
train_0035	train	75
train_0036	train	72
train_0037	train	83
train_0038	train	70
train_0039	train	45
train_0040	train	22
train_0041	train	65
train_0042	train	94
train_0043	train	31
train_0044	train	10
train_0045	train	25
train_0046	train	59
train_0047	train	53
train_0048	train	15
train_0049	train	15
train_0050	train	10
train_0051	train	19
train_0052	train	87
train_0053	train	5
train_0054	train	35
train_0055	train	51
train_0056	train	59
train_0057	train	18
train_0058	train	85
train_0059	train	7
train_0060	train	58
train_0061	train	73
train_0062	train	78
train_0063	train	28
train_0064	train	9
train_0065	train	79
train_0066	train	90
train_0067	train	23
train_0068	train	25
train_0069	train	88
train_0070	train	34
train_0071	train	18
train_0072	train	83
train_0073	train	99
train_0074	train	71
train_0075	train	24
train_0076	train	77
train_0077	train	24
train_0078	train	11
train_0079	train	20
train_0080	train	65
train_0081	train	52
train_0082	train	15
train_0083	train	63
train_0084	train	1
train_0085	train	7
train_0086	train	59
train_0087	train	13
train_0088	train	10
train_0089	train	85
train_0090	train	74
train_0091	train	36
train_0092	train	7
train_0093	train	37
train_0094	train	28
train_0095	train	35
train_0096	train	16
train_0097	train	96
train_0098	train	59
train_0099	train	53
train_0100	train	94
train_0101	train	61
train_0102	train	43
train_0103	train	14
train_0104	train	97
train_0105	train	40
train_0106	train	15
train_0107	train	31
train_0108	train	94
train_0109	train	5
train_0110	train	1
train_0111	train	20
train_0112	train	22
train_0113	train	8
train_0114	train	37
train_0115	train	58
train_0116	train	0
train_0117	train	54
train_0118	train	51
train_0119	train	13
train_0120	train	18
train_0121	train	96
train_0122	train	36
train_0123	train	9
train_0124	train	32
