file_stem	split	cluster
train_0001	train	31
train_0002	train	30
train_0003	train	195
train_0004	train	114
train_0005	train	160
train_0006	train	91
train_0007	train	186
train_0008	train	50
train_0009	train	158
train_0010	train	134
train_0011	train	126
train_0012	train	83
train_0013	train	170
train_0014	train	86
train_0015	train	197
train_0016	train	55
train_0017	train	170
train_0018	train	25
train_0019	train	8
train_0020	train	111
train_0021	train	168
train_0022	train	45
train_0023	train	58
train_0024	train	178
train_0025	train	209
train_0026	train	122
train_0027	train	201
train_0028	train	7
train_0029	train	29
train_0030	train	102
train_0031	train	121
train_0032	train	86
train_0033	train	110
train_0034	train	9
train_0035	train	31
train_0036	train	133
train_0037	train	100
train_0038	train	53
train_0039	train	114
train_0040	train	122
train_0041	train	20
train_0042	train	42
train_0043	train	68
train_0044	train	149
train_0045	train	124
train_0046	train	69
train_0047	train	175
train_0048	train	23
train_0049	train	23
train_0050	train	103
train_0051	train	182
train_0052	train	74
train_0053	train	204
train_0054	train	172
train_0055	train	185
train_0056	train	69
train_0057	train	75
train_0058	train	187
train_0059	train	71
train_0060	train	60
train_0061	train	107
train_0062	train	51
train_0063	train	81
train_0064	train	56
train_0065	train	90
train_0066	train	202
train_0067	train	146
train_0068	train	136
train_0069	train	18
train_0070	train	188
train_0071	train	22
train_0072	train	100
train_0073	train	7
train_0074	train	85
train_0075	train	25
train_0076	train	201
train_0077	train	25
train_0078	train	167
train_0079	train	29
train_0080	train	20
train_0081	train	197
train_0082	train	23
train_0083	train	164
train_0084	train	190
train_0085	train	177
train_0086	train	129
train_0087	train	121
train_0088	train	198
train_0089	train	135
train_0090	train	178
train_0091	train	208
train_0092	train	71
train_0093	train	162
train_0094	train	161
train_0095	train	172
train_0096	train	148
train_0097	train	37
train_0098	train	69
train_0099	train	168
train_0100	train	42
train_0101	train	17
train_0102	train	10
train_0103	train	58
train_0104	train	41
train_0105	train	26
train_0106	train	23
train_0107	train	68
train_0108	train	42
train_0109	train	204
train_0110	train	88
train_0111	train	29
train_0112	train	0
train_0113	train	47
train_0114	train	162
train_0115	train	60
train_0116	train	176
train_0117	train	89
train_0118	train	106
train_0119	train	44
train_0120	train	22
train_0121	train	37
train_0122	train	54
train_0123	train	56
train_0124	train	83
train_0125	train	23
train_0126	train	116
train_0127	train	85
train_0128	train	11
train_0129	train	18
train_0130	train	19
train_0131	train	143
train_0132	train	54
train_0133	train	113
train_0134	train	134
train_0135	train	62
train_0136	train	158
train_0137	train	189
train_0138	train	41
train_0139	train	46
train_0140	train	183
train_0141	train	112
train_0142	train	185
train_0143	train	70
train_0144	train	128
train_0145	train	187
train_0146	train	28
train_0147	train	133
train_0148	train	169
train_0149	train	14
train_0150	train	75
train_0151	train	151
train_0152	train	79
train_0153	train	23
train_0154	train	51
train_0155	train	75
train_0156	train	165
train_0157	train	63
train_0158	train	50
train_0159	train	139
train_0160	train	68
train_0161	train	184
train_0162	train	14
train_0163	train	44
train_0164	train	130
train_0165	train	118
train_0166	train	62
train_0167	train	151
train_0168	train	8
train_0169	train	9
train_0170	train	36
train_0171	train	132
train_0172	train	186
train_0173	train	186
train_0174	train	63
train_0175	train	116
train_0176	train	34
train_0177	train	7
train_0178	train	29
train_0179	train	56
train_0180	train	76
train_0181	train	33
train_0182	train	193
train_0183	train	178
train_0184	train	34
train_0185	train	204
train_0186	train	33
train_0187	train	153
train_0188	train	30
train_0189	train	79
train_0190	train	67
train_0191	train	189
train_0192	train	60
train_0193	train	83
train_0194	train	77
train_0195	train	117
train_0196	train	34
train_0197	train	190
train_0198	train	92
train_0199	train	78
train_0200	train	82
train_0201	train	96
train_0202	train	200
train_0203	train	44
train_0204	train	150
train_0205	train	110
train_0206	train	11
train_0207	train	112
train_0208	train	34
train_0209	train	44
train_0210	train	34
train_0211	train	71
train_0212	train	75
train_0213	train	87
train_0214	train	3
train_0215	train	128
train_0216	train	135
train_0217	train	201
train_0218	train	69
train_0219	train	178
train_0220	train	132
train_0221	train	198
train_0222	train	51
train_0223	train	164
train_0224	train	70
train_0225	train	52
train_0226	train	90
train_0227	train	110
train_0228	train	209
train_0229	train	152
train_0230	train	29
train_0231	train	154
train_0232	train	182
train_0233	train	66
train_0234	train	78
train_0235	train	124
train_0236	train	25
train_0237	train	87
train_0238	train	84
train_0239	train	195
train_0240	train	73
train_0241	train	46
train_0242	train	145
train_0243	train	129
train_0244	train	30
train_0245	train	30
train_0246	train	67
train_0247	train	107
train_0248	train	124
train_0249	train	108
train_0250	train	36
train_0251	train	204
train_0252	train	162
train_0253	train	18
train_0254	train	60
train_0255	train	34
train_0256	train	94
train_0257	train	146
train_0258	train	58
train_0259	train	101
train_0260	train	39
train_0261	train	105
train_0262	train	125
train_0263	train	87
train_0264	train	16
train_0265	train	114
train_0266	train	182
train_0267	train	90
train_0268	train	47
train_0269	train	51
train_0270	train	69
train_0271	train	31
train_0272	train	169
train_0273	train	28
train_0274	train	12
train_0275	train	4
train_0276	train	74
train_0277	train	110
train_0278	train	164
train_0279	train	22
train_0280	train	56
train_0281	train	60
train_0282	train	83
train_0283	train	58
train_0284	train	145
train_0285	train	67
train_0286	train	64
train_0287	train	103
train_0288	train	167
train_0289	train	83
train_0290	train	16
train_0291	train	0
train_0292	train	96
train_0293	train	105
train_0294	train	73
train_0295	train	50
train_0296	train	122
train_0297	train	66
train_0298	train	120
train_0299	train	86
train_0300	train	24
train_0301	train	111
train_0302	train	124
train_0303	train	58
train_0304	train	155
train_0305	train	112
train_0306	train	67
train_0307	train	30
train_0308	train	4
train_0309	train	29
train_0310	train	20
train_0311	train	27
train_0312	train	139
train_0313	train	55
train_0314	train	87
train_0315	train	61
train_0316	train	114
